"ID","gene","pathway"
"96","GRMZM2G036685","adenosine nucleotides <i>de novo<i> biosynthesis"
"97","GRMZM2G004534","glycolysis III"
"98","GRMZM2G004534","glycolysis I"
"99","GRMZM2G004534","glycolysis IV (plant cytosol)"
"100","GRMZM2G004534","Rubisco shunt"
"101","GRMZM2G434170","phytate degradation II"
"102","GRMZM2G434170","phytate degradation I"
"103","GRMZM5G881649","phytate degradation II"
"104","GRMZM5G881649","phytate degradation I"
"105","GRMZM2G020446","lysine biosynthesis VI"
"106","GRMZM2G104310","glycine cleavage complex"
"107","GRMZM2G001904","folate transformations II (plants)"
"108","GRMZM2G419806","chlorophyllide <i>a<i> biosynthesis I"
"109","GRMZM2G118286","fatty acid &beta;-oxidation II (core pathway)"
"110","GRMZM2G118286","fatty acid activation"
"111","GRMZM2G118286","linoleate biosynthesis I (plants)"
"112","GRMZM2G443495","arginine degradation X (arginine monooxygenase pathway)"
"113","GRMZM2G443495","IAA biosynthesis I"
"114","GRMZM2G046284","glycolysis III"
"115","GRMZM2G046284","Calvin-Benson-Bassham cycle"
"116","GRMZM2G046284","gluconeogenesis I"
"117","GRMZM2G046284","glycolysis I"
"118","GRMZM2G046284","glycolysis IV (plant cytosol)"
"119","GRMZM2G103546","valine degradation I"
"120","GRMZM2G014397","ascorbate glutathione cycle"
"121","GRMZM2G014397","betanidin degradation"
"122","GRMZM2G392513","<i>myo<i>-inositol biosynthesis"
"123","GRMZM2G392513","1D-<i>myo<i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza<i>)"
"124","GRMZM2G036534","acetyl-CoA biosynthesis (from pyruvate)"
"125","GRMZM2G126002","ascorbate biosynthesis I (L-galactose pathway)"
"126","GRMZM2G011746","<i>trans<i>-lycopene biosynthesis II (plants)"
"127","GRMZM2G418644","homogalacturonan degradation"
"128","GRMZM2G088689","valine degradation I"
"129","GRMZM2G088689","pantothenate biosynthesis I"
"130","GRMZM2G399183","glycine cleavage complex"
"131","GRMZM2G028307","melibiose degradation"
"132","GRMZM2G028307","stachyose degradation"
"133","GRMZM2G127386","IAA biosynthesis I"
"134","GRMZM2G082271","tRNA charging pathway"
"135","GRMZM2G169240","linoleate biosynthesis I (plants)"
"136","GRMZM2G169261","linoleate biosynthesis I (plants)"
"137","GRMZM2G181227","valine degradation I"
"138","GRMZM2G181227","&beta;-alanine biosynthesis II"
"139","GRMZM2G015886","cellulose biosynthesis"
"140","GRMZM2G113815","homogalacturonan degradation"
"141","GRMZM2G011141","triacylglycerol degradation"
"142","GRMZM2G304915","tetrahydrofolate biosynthesis (mitochondrial)"
"143","GRMZM2G304915","folate polyglutamylation"
"144","GRMZM2G304915","tetrahydrofolate biosynthesis (mitochondrial)"
"145","GRMZM2G013478","salvage pathways of pyrimidine ribonucleotides"
"146","GRMZM2G013478","pyrimidine ribonucleotides interconversion"
"147","GRMZM2G013478","adenosine nucleotides <i>de novo<i> biosynthesis"
"148","GRMZM2G013478","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"149","GRMZM2G013478","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"150","GRMZM2G013478","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"151","GRMZM2G013478","pyrimidine ribonucleotides interconversion"
"152","GRMZM2G097820","riboflavin biosynthesis I (plastidic)"
"153","GRMZM2G141848","sulfate reduction II (assimilatory)"
"154","GRMZM2G141848","sulfite oxidation III"
"155","GRMZM2G141848","sulfite oxidation II"
"156","GRMZM2G300965","betanidin degradation"
"157","GRMZM2G009196","riboflavin biosynthesis I (plastidic)"
"158","GRMZM5G895459","thiosulfate disproportionation III (rhodanese)"
"159","AC203311.3_FG005","mevalonate pathway I"
"160","GRMZM2G014376","chorismate biosynthesis I"
"161","GRMZM2G014376","chorismate biosynthesis I"
"162","GRMZM2G073860","phosphate acquisition"
"163","GRMZM2G073860","phosphate utilization in cell wall regeneration"
"164","GRMZM2G073860","NADNADH phosphorylation and dephosphorylation"
"165","GRMZM2G016890","DIMBOA-glucoside degradation"
"166","GRMZM2G016890","coumarin biosynthesis (via 2-coumarate)"
"167","AC199703.3_FG003","glutathione biosynthesis"
"168","GRMZM2G341379","phosphate acquisition"
"169","GRMZM2G341379","phosphate utilization in cell wall regeneration"
"170","GRMZM2G341379","NADNADH phosphorylation and dephosphorylation"
"171","GRMZM2G003059","phosphate acquisition"
"172","GRMZM2G003059","phosphate utilization in cell wall regeneration"
"173","GRMZM2G003059","NADNADH phosphorylation and dephosphorylation"
"174","GRMZM2G049892","tryptophan biosynthesis"
"175","GRMZM2G010406","arginine biosynthesis II (acetyl cycle)"
"176","GRMZM2G010406","arginine biosynthesis I"
"177","GRMZM2G010406","citrulline-nitric oxide cycle"
"178","GRMZM2G010406","urea cycle"
"179","GRMZM2G173209","adenosine nucleotides <i>de novo<i> biosynthesis"
"180","GRMZM5G816432","salvage pathways of pyrimidine ribonucleotides"
"181","GRMZM2G033985","betanidin degradation"
"182","GRMZM2G371345","flavonol glucosylation I"
"183","GRMZM2G371345","anthocyanin biosynthesis (pelargonidin 3-O-glucoside cyanidin 3-O-glucoside)"
"184","GRMZM2G371345","flavonoid and flavonol biosynthesis pathway leading to anthocyanin biosynthesis and accumulation"
"185","GRMZM2G371345","flavonol glucosylation I"
"186","GRMZM2G371345","flavonol glucosylation I"
"187","GRMZM2G371345","anthocyanin biosynthesis (pelargonidin 3-O-glucoside cyanidin 3-O-glucoside)"
"188","GRMZM2G371345","flavonoid and flavonol biosynthesis pathway leading to anthocyanin biosynthesis and accumulation"
"189","GRMZM2G371345","anthocyanin biosynthesis (delphinidin 3-O-glucoside)"
"190","GRMZM2G102156","biotin biosynthesis from 7-keto-8-aminopelargonate (mitochondrial)"
"191","GRMZM2G102156","biotin biosynthesis from 7-keto-8-aminopelargonate (mitochondrial)"
"192","AC215639.3_FG002","gibberellin inactivation I (2&beta;-hydroxylation)"
"193","GRMZM2G390967","glyoxylate cycle"
"194","GRMZM2G073371","superoxide radicals degradation"
"195","GRMZM2G101900","uridine-5-phosphate biosynthesis"
"196","GRMZM2G101900","arginine biosynthesis II (acetyl cycle)"
"197","GRMZM2G101900","arginine biosynthesis I"
"198","GRMZM2G101900","citrulline biosynthesis"
"199","GRMZM2G101900","citrulline degradation"
"200","GRMZM2G101900","proline biosynthesis II (from arginine)"
"201","GRMZM2G101900","urea cycle"
"202","GRMZM2G127087","linalool biosynthesis"
"203","GRMZM2G127087","&beta;-caryophyllene biosynthesis"
"204","GRMZM2G127087","&beta;-caryophyllene biosynthesis"
"205","GRMZM2G127087","&beta;-caryophyllene biosynthesis"
"206","GRMZM2G009681","brassinosteroid biosynthesis II"
"207","GRMZM2G127336","&beta;-caryophyllene biosynthesis"
"208","GRMZM2G118063","&gamma;-glutamyl cycle"
"209","GRMZM2G118063","hypoglycin biosynthesis"
"210","GRMZM2G141399","glycogen biosynthesis I (from ADP-D-Glucose)"
"211","GRMZM2G141399","starch biosynthesis"
"212","GRMZM2G181192","vitamin E biosynthesis"
"213","GRMZM2G079777","adenosine nucleotides <i>de novo<i> biosynthesis"
"214","GRMZM2G305757","adenosine nucleotides <i>de novo<i> biosynthesis"
"215","GRMZM2G119305","oleate biosynthesis I (plants)"
"216","GRMZM2G034152","spermine and spermidine degradation II"
"217","GRMZM2G034152","spermine and spermidine degradation II"
"218","GRMZM2G368902","inosine-5-phosphate biosynthesis II"
"219","GRMZM2G368902","inosine-5-phosphate biosynthesis II"
"220","GRMZM2G455564","homogalacturonan degradation"
"221","GRMZM2G155729","colanic acid building blocks biosynthesis"
"222","GRMZM2G155729","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"223","GRMZM2G155729","galactose degradation III"
"224","GRMZM2G155729","glycogen biosynthesis II (from UDP-D-Glucose)"
"225","GRMZM2G155729","sucrose degradation III"
"226","GRMZM2G155729","stachyose degradation"
"227","GRMZM2G155729","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"228","GRMZM2G155729","sucrose biosynthesis"
"229","GRMZM2G155729","UDP-<i>N<i>-acetyl-D-glucosamine biosynthesis II"
"230","GRMZM2G118610","mannitol degradation II"
"231","GRMZM2G145870","tryptophan biosynthesis"
"232","GRMZM2G103287","glucose and glucose-1-phosphate degradation"
"233","GRMZM2G103287","GDP-glucose biosynthesis"
"234","GRMZM2G103287","sucrose degradation III"
"235","GRMZM2G103287","starch biosynthesis"
"236","GRMZM2G103287","starch degradation"
"237","GRMZM2G103287","sucrose biosynthesis"
"238","GRMZM2G102231","photorespiration"
"239","GRMZM2G008209","coenzyme A biosynthesis"
"240","GRMZM2G107616","salvage pathways of pyrimidine ribonucleotides"
"241","GRMZM2G107616","pyrimidine ribonucleotides interconversion"
"242","GRMZM2G107616","adenosine nucleotides <i>de novo<i> biosynthesis"
"243","GRMZM2G107616","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"244","GRMZM2G107616","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"245","GRMZM2G107616","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"246","GRMZM2G107616","pyrimidine ribonucleotides interconversion"
"247","GRMZM2G343080","photorespiration"
"248","AC199911.5_FG001","adenosine nucleotides <i>de novo<i> biosynthesis"
"249","GRMZM2G465812","linalool biosynthesis"
"250","GRMZM2G465812","&beta;-caryophyllene biosynthesis"
"251","GRMZM2G465812","&beta;-caryophyllene biosynthesis"
"252","GRMZM2G465812","&beta;-caryophyllene biosynthesis"
"253","GRMZM2G117319","linalool biosynthesis"
"254","GRMZM2G117319","&beta;-caryophyllene biosynthesis"
"255","GRMZM2G117319","&beta;-caryophyllene biosynthesis"
"256","GRMZM2G117319","&beta;-caryophyllene biosynthesis"
"257","GRMZM2G074309","linalool biosynthesis"
"258","GRMZM2G074309","&beta;-caryophyllene biosynthesis"
"259","GRMZM2G074309","&beta;-caryophyllene biosynthesis"
"260","GRMZM2G074309","&beta;-caryophyllene biosynthesis"
"261","GRMZM2G179092","linalool biosynthesis"
"262","GRMZM2G179092","&beta;-caryophyllene biosynthesis"
"263","GRMZM2G179092","&beta;-caryophyllene biosynthesis"
"264","GRMZM2G179092","&beta;-caryophyllene biosynthesis"
"265","GRMZM2G438602","tRNA charging pathway"
"266","GRMZM2G438602","tRNA charging pathway"
"267","GRMZM2G438602","tRNA charging pathway"
"268","GRMZM2G438602","tRNA charging pathway"
"269","GRMZM2G438602","tRNA charging pathway"
"270","GRMZM2G106974","tRNA charging pathway"
"271","GRMZM2G106974","tRNA charging pathway"
"272","GRMZM2G106974","tRNA charging pathway"
"273","GRMZM2G106974","tRNA charging pathway"
"274","GRMZM2G467212","thiosulfate disproportionation III (rhodanese)"
"275","GRMZM2G068808","<i>ent<i>-kaurene biosynthesis I"
"276","GRMZM2G171229","choline biosynthesis III"
"277","GRMZM2G171229","phosphatidylcholine biosynthesis I"
"278","GRMZM2G171229","phosphatidylcholine biosynthesis II"
"279","GRMZM2G110145","cellulose biosynthesis"
"280","GRMZM2G086117","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"281","GRMZM2G086117","aerobic respiration -- electron donor II"
"282","GRMZM2G086117","NADNADH phosphorylation and dephosphorylation"
"283","GRMZM2G077486","suberin biosynthesis"
"284","GRMZM2G077486","phenylpropanoid biosynthesis"
"285","GRMZM2G077486","chlorogenic acid biosynthesis I"
"286","GRMZM2G333183","Calvin-Benson-Bassham cycle"
"287","GRMZM2G333183","Rubisco shunt"
"288","GRMZM2G134756","tRNA charging pathway"
"289","GRMZM2G134756","tRNA charging pathway"
"290","GRMZM5G828229","acetyl-CoA biosynthesis (from pyruvate)"
"291","GRMZM5G828229","2-ketoglutarate dehydrogenase complex"
"292","GRMZM5G828229","glycine cleavage complex"
"293","GRMZM2G149786","spermine and spermidine degradation II"
"294","GRMZM2G149786","spermine and spermidine degradation II"
"295","GRMZM2G362828","homogalacturonan degradation"
"296","GRMZM2G004957","&gamma;-glutamyl cycle"
"297","GRMZM2G004957","hypoglycin biosynthesis"
"298","GRMZM2G005024","tryptophan biosynthesis"
"299","GRMZM2G101875","fatty acid &beta;-oxidation II (core pathway)"
"300","GRMZM2G101875","fatty acid activation"
"301","GRMZM2G101875","linoleate biosynthesis I (plants)"
"302","GRMZM2G124744","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"303","GRMZM2G394500","betanidin degradation"
"304","GRMZM2G006727","betanidin degradation"
"305","GRMZM2G060721","betanidin degradation"
"306","GRMZM2G160062","betanidin degradation"
"307","GRMZM2G050829","betanidin degradation"
"308","GRMZM2G050883","betanidin degradation"
"309","GRMZM2G022740","betanidin degradation"
"310","GRMZM2G022828","betanidin degradation"
"311","GRMZM2G326222","betanidin degradation"
"312","AC205413.4_FG002","betanidin degradation"
"313","AC205413.4_FG003","betanidin degradation"
"314","AC205413.4_FG001","betanidin degradation"
"315","GRMZM2G177792","betanidin degradation"
"316","GRMZM2G061135","ethylene biosynthesis from methionine"
"317","GRMZM2G061135","methionine degradation I (to homocysteine)"
"318","GRMZM2G061135","<i>S<i>-adenosyl-L-methionine cycle II"
"319","GRMZM2G061135","2-deoxymugineic acid phytosiderophore biosynthesis"
"320","GRMZM2G061135","S-adenosyl-L-methionine biosynthesis"
"321","GRMZM2G109062","acyl-CoA hydrolysis"
"322","GRMZM2G109142","acyl-CoA hydrolysis"
"323","GRMZM2G097641","sucrose biosynthesis"
"324","GRMZM2G017856","&gamma;-glutamyl cycle"
"325","GRMZM2G017856","hypoglycin biosynthesis"
"326","GRMZM2G063478","&gamma;-glutamyl cycle"
"327","GRMZM2G063478","hypoglycin biosynthesis"
"328","GRMZM2G405584","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"329","GRMZM2G405584","aerobic respiration -- electron donor II"
"330","GRMZM2G405584","NADNADH phosphorylation and dephosphorylation"
"331","GRMZM2G072529","ethylene biosynthesis from methionine"
"332","GRMZM2G332423","ethylene biosynthesis from methionine"
"333","GRMZM2G088795","ethylene biosynthesis from methionine"
"334","GRMZM2G166616","ethylene biosynthesis from methionine"
"335","GRMZM2G166639","ethylene biosynthesis from methionine"
"336","GRMZM2G168499","phenylpropanoid biosynthesis"
"337","GRMZM2G168499","simplecoumarins biosynthesis"
"338","GRMZM2G168499","chlorogenic acid biosynthesis I"
"339","GRMZM2G168499","chlorogenic acid biosynthesis II"
"340","GRMZM2G168499","phenylpropanoid biosynthesis"
"341","GRMZM2G168499","chlorogenic acid biosynthesis I"
"342","GRMZM2G168499","chlorogenic acid biosynthesis II"
"343","GRMZM5G807276","flavonol biosynthesis"
"344","GRMZM5G807276","syringetin biosynthesis"
"345","GRMZM5G831308","arginine degradation III (arginine decarboxylaseagmatinase pathway)"
"346","GRMZM5G831308","putrescine biosynthesis IV"
"347","GRMZM5G831308","arginine degradation I (arginase pathway)"
"348","GRMZM5G831308","arginine degradation VI (arginase 2 pathway)"
"349","GRMZM5G831308","citrulline biosynthesis"
"350","GRMZM5G831308","urea cycle"
"351","GRMZM5G831308","putrescine biosynthesis IV"
"352","GRMZM2G174671","arginine degradation III (arginine decarboxylaseagmatinase pathway)"
"353","GRMZM2G174671","putrescine biosynthesis IV"
"354","GRMZM2G174671","arginine degradation I (arginase pathway)"
"355","GRMZM2G174671","arginine degradation VI (arginase 2 pathway)"
"356","GRMZM2G174671","citrulline biosynthesis"
"357","GRMZM2G174671","urea cycle"
"358","GRMZM2G174671","putrescine biosynthesis IV"
"359","GRMZM2G079944","pyrimidine ribonucleotides interconversion"
"360","GRMZM2G079944","chorismate biosynthesis I"
"361","GRMZM2G142680","salvage pathways of pyrimidine ribonucleotides"
"362","GRMZM2G023023","arginine degradation X (arginine monooxygenase pathway)"
"363","GRMZM2G023023","IAA biosynthesis I"
"364","GRMZM2G103825","arginine degradation X (arginine monooxygenase pathway)"
"365","GRMZM2G103825","IAA biosynthesis I"
"366","GRMZM5G858454","glyoxylate cycle"
"367","GRMZM5G858454","TCA cycle variation III (eukaryotic)"
"368","GRMZM5G858454","glutamine biosynthesis III"
"369","GRMZM5G858454","glyoxylate cycle"
"370","GRMZM5G858454","TCA cycle variation III (eukaryotic)"
"371","GRMZM5G858454","glutamine biosynthesis III"
"372","GRMZM2G021170","tRNA charging pathway"
"373","GRMZM2G446108","glycerol degradation I"
"374","GRMZM2G446108","glycerol degradation IV"
"375","GRMZM2G446108","glycerol-3-phosphate shuttle"
"376","GRMZM2G098677","salvage pathways of pyrimidine ribonucleotides"
"377","AC197672.3_FG002","fatty acid biosynthesis initiation I"
"378","AC197672.3_FG002","biotin-carboxyl carrier protein assembly"
"379","GRMZM2G177077","pentose phosphate pathway (oxidative branch)"
"380","GRMZM2G154667","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"381","GRMZM2G154667","aerobic respiration -- electron donor II"
"382","GRMZM2G154667","NADNADH phosphorylation and dephosphorylation"
"383","GRMZM2G035282","IAA conjugate biosynthesis I"
"384","GRMZM2G035282","cytokinins-<i>O<i>-glucoside biosynthesis"
"385","GRMZM2G035282","cytokinins-<i>O<i>-glucoside biosynthesis"
"386","GRMZM2G063042","IAA conjugate biosynthesis I"
"387","GRMZM2G063042","cytokinins-<i>O<i>-glucoside biosynthesis"
"388","GRMZM2G063042","cytokinins-<i>O<i>-glucoside biosynthesis"
"389","GRMZM2G004211","superoxide radicals degradation"
"390","GRMZM2G004211","ascorbate glutathione cycle"
"391","GRMZM2G004211","ethanol degradation IV (peroxisomal)"
"392","GRMZM2G004211","betanidin degradation"
"393","AC204711.3_FG003","adenosine nucleotides <i>de novo<i> biosynthesis"
"394","AC204711.3_FG003","purine nucleotides <i>de novo<i> biosynthesis II"
"395","AC204711.3_FG003","thiosulfate disproportionation III (rhodanese)"
"396","GRMZM2G359298","phenylethanol biosynthesis"
"397","GRMZM2G081585","superoxide radicals degradation"
"398","GRMZM2G086702","methyl indole-3-acetate interconversion"
"399","GRMZM2G003648","salvage pathways of pyrimidine ribonucleotides"
"400","GRMZM2G473385","salvage pathways of pyrimidine ribonucleotides"
"401","GRMZM2G126496","23-dihydroxybenzoate biosynthesis"
"402","GRMZM2G148508","tryptophan biosynthesis"
"403","GRMZM2G119881","tryptophan biosynthesis"
"404","AC215690.3_FG002","oleate biosynthesis I (plants)"
"405","GRMZM2G327099","adenosine nucleotides degradation II"
"406","GRMZM2G099696","fatty acid elongation -- saturated"
"407","GRMZM2G099696","pyruvate fermentation to ethanol II"
"408","GRMZM2G099696","acetaldehyde biosynthesis I"
"409","GRMZM2G099696","ethanol degradation II (cytosol)"
"410","GRMZM2G099696","23-dihydroxybenzoate biosynthesis"
"411","GRMZM2G099696","valine degradation II"
"412","GRMZM2G099696","leucine degradation III"
"413","GRMZM2G099696","phenylethanol biosynthesis"
"414","GRMZM2G099696","palmitate biosynthesis II (bacteria and plants)"
"415","GRMZM2G099696","palmitate biosynthesis II (bacteria and plants)"
"416","GRMZM2G099696","palmitate biosynthesis II (bacteria and plants)"
"417","GRMZM2G099696","palmitate biosynthesis II (bacteria and plants)"
"418","GRMZM2G099696","petroselinate biosynthesis"
"419","GRMZM2G099696","<i>cis<i>-vaccenate biosynthesis"
"420","GRMZM2G099696","stearate biosynthesis II (plants)"
"421","GRMZM2G097050","glycerol degradation I"
"422","GRMZM2G097050","glycerol degradation IV"
"423","GRMZM2G097050","glycerol-3-phosphate shuttle"
"424","GRMZM2G151041","2-ketoglutarate dehydrogenase complex"
"425","GRMZM2G331861","lysine biosynthesis VI"
"426","GRMZM2G381483","dolichyl-diphosphooligosaccharide biosynthesis"
"427","GRMZM2G079538","2-ketoglutarate dehydrogenase complex"
"428","GRMZM2G023194","aerobic respiration -- electron donor II"
"429","GRMZM2G125923","phenylalanine biosynthesis II"
"430","GRMZM2G125923","phenylalanine biosynthesis I"
"431","GRMZM5G831009","phytate degradation II"
"432","GRMZM5G831009","phosphate acquisition"
"433","GRMZM5G831009","phosphate utilization in cell wall regeneration"
"434","GRMZM5G831009","NADNADH phosphorylation and dephosphorylation"
"435","GRMZM5G831009","phytate degradation I"
"436","GRMZM2G095725","sucrose degradation I"
"437","GRMZM2G095725","sucrose degradation III"
"438","GRMZM2G123633","sucrose degradation I"
"439","GRMZM2G123633","sucrose degradation III"
"440","GRMZM2G164645","linalool biosynthesis"
"441","GRMZM2G164645","<i>trans trans<i>-farnesyl diphosphate biosynthesis"
"442","GRMZM2G164645","geranyl diphosphate biosynthesis"
"443","GRMZM2G164645","<i>trans trans<i>-farnesyl diphosphate biosynthesis"
"444","GRMZM2G398876","succinate to cytochrome <i>bd<i> oxidase electron transfer"
"445","GRMZM2G398876","aerobic respiration -- electron donor II"
"446","GRMZM2G398876","superpathway of glyoxylate cycle"
"447","GRMZM2G398876","TCA cycle variation III (eukaryotic)"
"448","GRMZM2G407740","betanidin degradation"
"449","GRMZM2G046583","pyridine nucleotide cycling (cytosolic)"
"450","GRMZM2G332922","ascorbate glutathione cycle"
"451","GRMZM2G332922","betanidin degradation"
"452","GRMZM2G033339","starch degradation"
"453","GRMZM2G009888","acyl-CoA hydrolysis"
"454","GRMZM2G353213","&gamma;-glutamyl cycle"
"455","GRMZM2G353213","hypoglycin biosynthesis"
"456","GRMZM2G125436","cellulose biosynthesis"
"457","GRMZM2G450863","sulfite oxidation III"
"458","GRMZM2G450863","sulfate activation for sulfonation"
"459","GRMZM2G450863","sulfate reduction II (assimilatory)"
"460","GRMZM2G070092","divinyl ether biosynthesis II"
