"ID","gene","pathway"
"70","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"71","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"72","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"73","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"74","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"75","LOC_Os07g42970","cytokinins-<i>O</i>-glucoside biosynthesis"
"76","LOC_Os07g42970","cytokinins-<i>O</i>-glucoside biosynthesis"
"77","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"78","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"79","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"80","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"81","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"82","LOC_Os10g10244","tRNA charging pathway"
"83","LOC_Os03g36750","photorespiration"
"84","LOC_Os01g03710","mannose degradation"
"85","LOC_Os01g03710","GDP-mannose metabolism"
"86","LOC_Os01g03710","ascorbate biosynthesis"
"87","LOC_Os06g03720","de novo biosynthesis of pyrimidine deoxyribonucleotides"
"88","LOC_Os01g50050","geranylgeranyldiphosphate biosynthesis II (plastidic)"
"89","LOC_Os01g50050","polyisoprenoid biosynthesis"
"90","LOC_Os01g50050","transtrans-farnesyl diphosphate biosynthesis"
"91","LOC_Os01g50050","geranylgeranyldiphosphate biosynthesis II (plastidic)"
"92","LOC_Os01g50050","polyisoprenoid biosynthesis"
"93","LOC_Os01g50050","geranyldiphosphate biosynthesis"
"94","LOC_Os01g50050","transtrans-farnesyl diphosphate biosynthesis"
"95","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"96","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"97","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"98","LOC_Os04g12980","cytokinins-<i>O</i>-glucoside biosynthesis"
"99","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"100","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"101","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"102","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"103","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"104","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"105","LOC_Os04g12980","cytokinins-<i>O</i>-glucoside biosynthesis"
"106","LOC_Os04g12980","cytokinins-<i>O</i>-glucoside biosynthesis"
"107","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"108","LOC_Os04g12980","cytokinins-<i>O</i>-glucoside biosynthesis"
"109","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"110","LOC_Os04g12980","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"111","LOC_Os04g12980","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"112","LOC_Os10g35390","phospholipid biosynthesis I"
"113","LOC_Os01g25880","salvage pathways of pyrimidine ribonucleotides"
"114","LOC_Os01g25880","salvage pathways of purine and pyrimidine nucleotides"
"115","LOC_Os01g06510","tRNA charging pathway"
"116","LOC_Os03g03910","removal of superoxide radicals"
"117","LOC_Os03g03910","oxidative ethanol degradation III"
"118","LOC_Os04g44230","betanidin degradation"
"119","LOC_Os05g35440","photorespiration"
"120","LOC_Os05g35440","folate transformations"
"121","LOC_Os05g35440","folate polyglutamylation I"
"122","LOC_Os05g35440","glycine biosynthesis I"
"123","LOC_Os05g35440","formylTHF biosynthesis II"
"124","LOC_Os05g04470","betanidin degradation"
"125","LOC_Os10g18480","IAA conjugate biosynthesis I"
"126","LOC_Os10g18480","IAA conjugate biosynthesis II"
"127","LOC_Os08g44770","removal of superoxide radicals"
"128","LOC_Os11g01810","&beta;-alanine betaine biosynthesis"
"129","LOC_Os11g01810","&beta;-alanine betaine biosynthesis"
"130","LOC_Os11g01810","&beta;-alanine betaine biosynthesis"
"131","LOC_Os05g06140","triacylglycerol degradation"
"132","LOC_Os11g12810","sucrose biosynthesis"
"133","LOC_Os03g29150","UDP-<i>N</i>-acetylgalactosamine biosynthesis"
"134","LOC_Os03g29150","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"135","LOC_Os03g29150","galactose degradation II"
"136","LOC_Os03g29150","UDP-glucose conversion"
"137","LOC_Os03g29150","dTDP-L-rhamnose biosynthesis I"
"138","LOC_Os03g29150","dTDP-L-rhamnose biosynthesis I"
"139","LOC_Os03g29150","brassinosteroid biosynthesis II"
"140","LOC_Os08g31980","trehalose biosynthesis I"
"141","LOC_Os01g70430","enterobactin biosynthesis"
"142","LOC_Os09g30120","cellulose biosynthesis"
"143","LOC_Os09g07480","starch degradation"
"144","LOC_Os09g34270","cytokinins-<i>O</i>-glucoside biosynthesis"
"145","LOC_Os09g34270","IAA conjugate biosynthesis I"
"146","LOC_Os09g34270","IAA conjugate biosynthesis II"
"147","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"148","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"149","LOC_Os09g34270","cytokinins-<i>O</i>-glucoside biosynthesis"
"150","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"151","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"152","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"153","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"154","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"155","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"156","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"157","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"158","LOC_Os09g34270","cytokinins-<i>O</i>-glucoside biosynthesis"
"159","LOC_Os09g34270","cytokinins-<i>O</i>-glucoside biosynthesis"
"160","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"161","LOC_Os09g34270","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"162","LOC_Os09g34270","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"163","LOC_Os03g15710","secologanin and strictosidine biosynthesis"
"164","LOC_Os09g04050","brassinosteroid biosynthesis II"
"165","LOC_Os07g01400","betanidin degradation"
"166","LOC_Os06g28670","homogalacturonan degradation"
"167","LOC_Os07g07920","arginine biosynthesis II (acetyl cycle)"
"168","LOC_Os07g07920","arginine biosynthesis I"
"169","LOC_Os07g07920","de novo biosynthesis of pyrimidine ribonucleotides"
"170","LOC_Os01g46070","mixed acid fermentation"
"171","LOC_Os01g46070","gluconeogenesis"
"172","LOC_Os01g46070","reductive TCA cycle I"
"173","LOC_Os01g46070","TCA cycle"
"174","LOC_Os01g46070","aspartate degradation II"
"175","LOC_Os01g46070","TCA cycle variation I"
"176","LOC_Os01g46070","sucrose degradation to ethanol and lactate (anaerobic)"
"177","LOC_Os07g30150","salvage pathways of purine nucleosides"
"178","LOC_Os07g30150","salvage pathways of purine and pyrimidine nucleotides"
"179","LOC_Os07g30150","salvage pathways of purine nucleosides II (plant)"
"180","LOC_Os07g30150","salvage pathways of adenine hypoxanthine and their nucleosides"
"181","LOC_OsP1g00370","aerobic respiration -- electron donor III"
"182","LOC_OsP1g00370","aerobic respiration -- electron donor II"
"183","LOC_Os05g31040","cytokinins degradation"
"184","LOC_Os05g31040","cytokinins degradation"
"185","LOC_Os05g31040","cytokinins degradation"
"186","LOC_Os05g31040","cytokinins degradation"
"187","LOC_Os05g31040","cytokinins degradation"
"188","LOC_Os03g61800","homogalacturonan degradation"
"189","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"190","LOC_Os06g17140","cytokinins-<i>O</i>-glucoside biosynthesis"
"191","LOC_Os06g17140","cytokinins-<i>O</i>-glucoside biosynthesis"
"192","LOC_Os06g17140","IAA conjugate biosynthesis I"
"193","LOC_Os06g17140","IAA conjugate biosynthesis II"
"194","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"195","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"196","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"197","LOC_Os06g17140","cytokinins-<i>O</i>-glucoside biosynthesis"
"198","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"199","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"200","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"201","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"202","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"203","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"204","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"205","LOC_Os06g17140","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"206","LOC_Os06g17140","cytokinins-<i>O</i>-glucoside biosynthesis"
"207","LOC_Os06g17140","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"208","LOC_Os11g05970","branched-chain &alpha;-keto acid dehydrogenase complex"
"209","LOC_Os11g48110","phenylpropanoid biosynthesis initial reactions"
"210","LOC_Os11g48110","suberin biosynthesis"
"211","LOC_Os11g48110","salicylate biosynthesis"
"212","LOC_Os05g04450","betanidin degradation"
"213","LOC_Os09g25620","spermidine biosynthesis"
"214","LOC_Os09g25620","spermine biosynthesis"
"215","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"216","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"217","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"218","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"219","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"220","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"221","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"222","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"223","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"224","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"225","LOC_Os01g49240","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"226","LOC_Os01g49240","cytokinins-<i>O</i>-glucoside biosynthesis"
"227","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"228","LOC_Os01g49240","cytokinins-<i>O</i>-glucoside biosynthesis"
"229","LOC_Os01g49240","cytokinins-<i>O</i>-glucoside biosynthesis"
"230","LOC_Os01g49240","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"231","LOC_Os01g49240","cytokinins-<i>O</i>-glucoside biosynthesis"
"232","LOC_Os03g20460","salvage pathways of purine and pyrimidine nucleotides"
"233","LOC_Os03g20460","de novo biosynthesis of pyrimidine deoxyribonucleotides"
"234","LOC_Os03g20460","salvage pathways of purine and pyrimidine nucleotides"
"235","LOC_Os03g20460","purine nucleotides <i>de novo</i> biosynthesis I"
"236","LOC_Os10g06710","IAA biosynthesis VI (via indole-3-acetamide)"
"237","LOC_Os10g06710","arginine degradation X (arginine monooxygenase pathway)"
"238","LOC_Os10g06710","aldoxime degradation"
"239","LOC_Os10g06710","acrylonitrile degradation"
"240","LOC_Os07g10740","homogalacturonan degradation"
"241","LOC_Os03g02200","salvage pathways of purine and pyrimidine nucleotides"
"242","LOC_Os03g02200","salvage pathways of pyrimidine deoxyribonucleotides"
"243","LOC_Os03g02200","salvage pathways of pyrimidine deoxyribonucleotides"
"244","LOC_Os02g44500","glutathione redox reactions I"
"245","LOC_Os06g02430","L-idonate degradation"
"246","LOC_Os03g20720","&beta;-alanine betaine biosynthesis"
"247","LOC_Os03g20720","&beta;-alanine betaine biosynthesis"
"248","LOC_Os03g20720","&beta;-alanine betaine biosynthesis"
"249","LOC_Os12g37350","jasmonic acid biosynthesis"
"250","LOC_Os12g37350","13-LOX and 13-HPL pathway"
"251","LOC_Os12g37350","13-LOX and 13-HPL pathway"
"252","LOC_Os12g37350","divinyl ether biosynthesis II (13-LOX)"
"253","LOC_Os04g54570","gentiodelphin biosynthesis"
"254","LOC_Os04g54570","gentiodelphin biosynthesis"
"255","LOC_Os04g43800","phenylpropanoid biosynthesis initial reactions"
"256","LOC_Os04g43800","suberin biosynthesis"
"257","LOC_Os04g43800","salicylate biosynthesis"
"258","LOC_Os04g43800","gluconeogenesis"
"259","LOC_Os04g43800","glycolysis IV (plant cytosol)"
"260","LOC_Os04g43800","sucrose degradation to ethanol and lactate (anaerobic)"
"261","LOC_Os04g43800","glycolysis I"
"262","LOC_Os01g31760","acyl-ACP thioesterase pathway"
"263","LOC_Os09g31970","mevalonate pathway"
"264","LOC_Os09g31970","mevalonate degradation"
"265","LOC_Os04g53810","brassinosteroid biosynthesis II"
"266","LOC_Os01g48960","glutamate biosynthesis IV"
"267","LOC_Os01g48960","ammonia assimilation cycle II"
"268","LOC_Os08g37940","photorespiration"
"269","LOC_Os05g13480","spermidine biosynthesis"
"270","LOC_Os05g13480","spermine biosynthesis"
"271","LOC_Os03g15840","glycolipid biosynthesis"
"272","LOC_Os07g36690","cellulose biosynthesis"
"273","LOC_Os07g20544","homoserine biosynthesis"
"274","LOC_Os07g20544","lysine biosynthesis I"
"275","LOC_Os07g20544","lysine biosynthesis VI"
"276","LOC_Os07g20544","lysine biosynthesis II"
"277","LOC_Os05g44100","trehalose biosynthesis I"
"278","LOC_Os03g56130","cellulose biosynthesis"
"279","LOC_Os03g23940","&gamma;-glutamyl cycle"
"280","LOC_Os06g02144","pentose phosphate pathway (oxidative branch)"
"281","LOC_Os09g29190","purine nucleotides <i>de novo</i> biosynthesis II"
"282","LOC_Os09g29190","purine nucleotides <i>de novo</i> biosynthesis I"
"283","LOC_Os01g39260","chlorophyllide <i>a</i> biosynthesis"
"284","LOC_Os04g53850","brassinosteroid biosynthesis II"
"285","LOC_Os09g23350","trehalose biosynthesis I"
"286","LOC_Os09g23350","trehalose biosynthesis I"
"287","LOC_Os02g26710","anthocyanin biosynthesis (delphinidin 3-O-glucoside)"
"288","LOC_Os02g26710","anthocyanin biosynthesis (pelargonidin 3-O-glucoside cyanidin 3-O-glucoside)"
"289","LOC_Os02g26710","anthocyanin biosynthesis (pelargonidin 3-O-glucoside cyanidin 3-O-glucoside)"
"290","LOC_Os03g58300","tryptophan biosynthesis"
"291","LOC_Os02g15690","homogalacturonan degradation"
"292","LOC_Os03g12110","methionine biosynthesis II"
"293","LOC_Os03g12110","S-methylmethionine cycle"
"294","LOC_Os03g12110","methionine biosynthesis II"
"295","LOC_Os06g49110","tetrapyrrole biosynthesis I"
"296","LOC_Os07g49120","enterobactin biosynthesis"
"297","LOC_Os07g49120","methionine degradation III"
"298","LOC_Os07g49120","ethanol fermentation to acetate"
"299","LOC_Os07g49120","mixed acid fermentation"
"300","LOC_Os07g49120","oxidative ethanol degradation I"
"301","LOC_Os07g49120","sucrose degradation to ethanol and lactate (anaerobic)"
"302","LOC_Os07g49120","phenylalanine degradation III"
"303","LOC_Os07g42490","sucrose biosynthesis"
"304","LOC_Os07g42490","galactose degradation II"
"305","LOC_Os07g42490","sucrose degradation III"
"306","LOC_Os07g42490","sucrose degradation to ethanol and lactate (anaerobic)"
"307","LOC_Os03g01600","isoleucine degradation I"
"308","LOC_Os03g01600","isoleucine biosynthesis from threonine"
"309","LOC_Os03g01600","pantothenate biosynthesis II"
"310","LOC_Os03g01600","valine degradation I"
"311","LOC_Os03g01600","valine biosynthesis"
"312","LOC_Os03g01600","pantothenate biosynthesis I"
"313","LOC_Os03g01600","leucine degradation I"
"314","LOC_Os03g01600","leucine biosynthesis"
"315","LOC_Os02g14460","betanidin degradation"
"316","LOC_Os03g42730","coenzyme A biosynthesis"
"317","LOC_Os02g01760","mevalonate pathway"
"318","LOC_Os03g01020","homogalacturonan degradation"
"319","LOC_Os04g42250","phenylpropanoid biosynthesis"
"320","LOC_Os04g42250","phenylpropanoid biosynthesis"
"321","LOC_Os04g42250","phenylpropanoid biosynthesis"
"322","LOC_Os04g42250","phenylpropanoid biosynthesis"
"323","LOC_Os12g05110","mixed acid fermentation"
"324","LOC_Os12g05110","glycolysis IV (plant cytosol)"
"325","LOC_Os12g05110","sucrose degradation to ethanol and lactate (anaerobic)"
"326","LOC_Os12g05110","glycolysis I"
"327","LOC_Os08g01770","salvage pathways of purine and pyrimidine nucleotides"
"328","LOC_Os08g01770","purine nucleotides <i>de novo</i> biosynthesis I"
"329","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"330","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"331","LOC_Os04g25800","cytokinins-<i>O</i>-glucoside biosynthesis"
"332","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"333","LOC_Os04g25800","cytokinins-<i>O</i>-glucoside biosynthesis"
"334","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"335","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"336","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"337","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"338","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"339","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"340","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"341","LOC_Os04g25800","cytokinins-<i>O</i>-glucoside biosynthesis"
"342","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"343","LOC_Os04g25800","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"344","LOC_Os04g25800","cytokinins-<i>O</i>-glucoside biosynthesis"
"345","LOC_Os04g25800","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"346","LOC_Os11g37890","brassinosteroid biosynthesis II"
"347","LOC_Os02g51080","phytyl-PP biosynthesis"
"348","LOC_Os02g51080","phytyl-PP biosynthesis"
"349","LOC_Os02g51080","chlorophyll <i>a</i> biosynthesis II"
"350","LOC_Os02g51080","chlorophyll <i>a</i> biosynthesis II"
"351","LOC_Os02g51080","chlorophyll <i>a</i> biosynthesis II"
"352","LOC_Os02g51080","phytyl-PP biosynthesis"
"353","LOC_Os08g36500","nitrate reduction II (assimilatory)"
"354","LOC_Os05g14800","sterol biosynthesis"
"355","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"356","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"357","LOC_Os07g32070","cytokinins-<i>O</i>-glucoside biosynthesis"
"358","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"359","LOC_Os07g32070","cytokinins-<i>O</i>-glucoside biosynthesis"
"360","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"361","LOC_Os07g32070","cytokinins-<i>O</i>-glucoside biosynthesis"
"362","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"363","LOC_Os07g32070","cytokinins-<i>O</i>-glucoside biosynthesis"
"364","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"365","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"366","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"367","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"368","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"369","LOC_Os07g32070","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"370","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"371","LOC_Os07g32070","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"372","LOC_Os02g35870","galactosylcyclitol biosynthesis"
"373","LOC_Os02g35870","galactosylcyclitol biosynthesis"
"374","LOC_Os03g12360","trehalose biosynthesis I"
"375","LOC_Os03g12360","trehalose biosynthesis I"
"376","LOC_Os01g14940","homogalacturonan degradation"
"377","LOC_Os01g18110","brassinosteroid biosynthesis II"
"378","LOC_Os07g49250","IAA biosynthesis I"
"379","LOC_Os07g49250","valine biosynthesis"
"380","LOC_Os07g49250","sucrose degradation to ethanol and lactate (anaerobic)"
"381","LOC_Os07g49250","isoleucine biosynthesis from threonine"
"382","LOC_Os10g32540","&beta;-alanine betaine biosynthesis"
"383","LOC_Os10g32540","&beta;-alanine betaine biosynthesis"
"384","LOC_Os10g32540","&beta;-alanine betaine biosynthesis"
"385","LOC_Os03g02600","flavin biosynthesis"
"386","LOC_Os03g02600","flavin biosynthesis"
"387","LOC_Os03g24380","glutathione redox reactions I"
"388","LOC_Os08g41090","betanidin degradation"
"389","LOC_Os08g41090","oxidative ethanol degradation III"
"390","LOC_Os08g41090","removal of superoxide radicals"
"391","LOC_Os03g30300","pentose phosphate pathway (oxidative branch)"
"392","LOC_Os06g06290","triacylglycerol degradation"
"393","LOC_Os06g38550","&beta;-alanine betaine biosynthesis"
"394","LOC_Os06g38550","&beta;-alanine betaine biosynthesis"
"395","LOC_Os06g38550","&beta;-alanine betaine biosynthesis"
"396","LOC_Os08g40930","starch biosynthesis"
"397","LOC_Os09g28150","cyanate degradation"
"398","LOC_Os02g09750","carotenoid biosynthesis"
"399","LOC_Os02g09750","carotenoid biosynthesis"
"400","LOC_Os02g09750","carotenoid biosynthesis"
"401","LOC_Os06g39970","cellulose biosynthesis"
"402","LOC_Os06g40640","xylulose-monophosphate cycle"
"403","LOC_Os06g40640","gluconeogenesis"
"404","LOC_Os06g40640","glycolysis IV (plant cytosol)"
"405","LOC_Os06g40640","Calvin cycle"
"406","LOC_Os06g40640","sucrose degradation to ethanol and lactate (anaerobic)"
"407","LOC_Os06g40640","glycolysis I"
"408","LOC_Os09g36800","chorismate biosynthesis"
"409","LOC_Os06g49870","de novo biosynthesis of pyrimidine ribonucleotides"
